line	url
R10C07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100709/GMR_10C07_AE_01_12-fA01b_C100709_20100709230124312/R10C07_AE_01_12-fA01b_C100709_20100709230124312_ch2_total.jpg
R10C08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20071221/GMR_10C08_AE_01_06-fA01b_C071221_20080104230426171/R10C08_AE_01_06-fA01b_C071221_20080104230426171_ch2_total.jpg
R10C10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080214/GMR_10C10_AE_01_03-fA01b_C080214_20080218234851671/R10C10_AE_01_03-fA01b_C080214_20080218234851671_ch2_total.jpg
R10C11	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080501/GMR_10C11_AE_01_01-fA01b_C080501_20080502030509609/R10C11_AE_01_01-fA01b_C080501_20080502030509609_ch2_total.jpg
R10C12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080501/GMR_10C12_AE_01_01-fA01b_C080501_20080502031249703/R10C12_AE_01_01-fA01b_C080501_20080502031249703_ch2_total.jpg
R10D01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080311/GMR_10D01_AE_01_07-fA01b_C080311_20080312031006171/R10D01_AE_01_07-fA01b_C080311_20080312031006171_ch2_total.jpg
R10D02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080214/GMR_10D02_AE_01_03-fA01b_C080214_20080219000153968/R10D02_AE_01_03-fA01b_C080214_20080219000153968_ch2_total.jpg
R10D03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080314/GMR_10D03_AE_01_03-fA01b_C080314_20080315002758703/R10D03_AE_01_03-fA01b_C080314_20080315002758703_ch2_total.jpg
R10D04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090225/GMR_10D04_AE_01_00-fA01b_C090225_20090225102817328/R10D04_AE_01_00-fA01b_C090225_20090225102817328_ch2_total.jpg
R10D05	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080220/GMR_10D05_AE_01_00-fA01b_C080220_20080228023036984/R10D05_AE_01_00-fA01b_C080220_20080228023036984_ch2_total.jpg
R10D06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080220/GMR_10D06_AE_01_04-fA01b_C080220_20080228022316312/R10D06_AE_01_04-fA01b_C080220_20080228022316312_ch2_total.jpg
R10D07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090919/GMR_10D07_AE_01_10-fA01b_C090919_20090919092052433/R10D07_AE_01_10-fA01b_C090919_20090919092052433_ch2_total.jpg
R10D08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080220/GMR_10D08_AE_01_03-fA01b_C080220_20080228024744078/R10D08_AE_01_03-fA01b_C080220_20080228024744078_ch2_total.jpg
R10D09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100429/GMR_10D09_AE_01_04-fA01b_C100429_20100429091505046/R10D09_AE_01_04-fA01b_C100429_20100429091505046_ch2_total.jpg
R10D10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20071220/GMR_10D10_AE_01_08-fA01b_C071220_20080104224456937/R10D10_AE_01_08-fA01b_C071220_20080104224456937_ch2_total.jpg
